Ex3,Ex4,Ex5,Ex6,Ex7,Ex9,Ex11,Ex12,Ex13Antes,Ex13Depois,Ex15x,Ex15y,Ex17A,Ex17B
,,,,19,,,,,,,,,
,,,,20,,,,,,,,,
,,,,20,,,,,,,,,
,,,,20,,,,,,,,,
,,,,20,,,,,,,,,
,,,,20,,,,,,,,,
,,,,20,,,,,,,,,
,,,,20,,,,,,,,,
,,,,20,,,,,,,,,
,,,,20,,,,,,,,,
,,,,20,,,,,,,,,
,,,,20,,,,,,,,,
,,,,20,,,,,,,,,
,,,,20,,,,,,,,,
,,,,20,,,,,,,,,
,,,,20,,,,,,,,,
,,,,21,,,,,,,,,
,,,,21,,,,,,,,,
,,,,21,,,,,,,,,
,,,,21,,,,,,,,,
,,,,21,,,,,,,,,
,,,,21,,,,,,,,,
,,,,21,,,,,,,,,
,,,,21,,,,,,,,,
,,,,21,,,,,,,,,
,,,,21,,,,,,,,,
,,,,22,,,,,,,,,
,,,,22,,,,,,,,,
,,,,22,,,,,,,,,
,,,,22,,,,,,,,,
,,,,22,,,,,,,,,
,,,,22,,,,,,,,,
,,,,22,,,,,,,,,
,,,,22,,,,,,,,,
,,,,22,,,,,,,,,
,,,,22,,,,,,,,,
,,,,22,,,,,,,,,
,,,,22,,,,,,,,,
,,,,22,,,,,,,,,
,,,,22,,,,,,,,,
,,,,22,,,,,,,,,
,,,,23,,,,,,,,,
,,,,23,,,,,,,,,
,,,,23,,,,,,,,,
,,,,23,,,,,,,,,
,,,,23,,,,,,,,,
,,,,23,,,,,,,,,
,,,,23,,,,,,,,,
,,,,23,,,,,,,,,
,,,,23,,,,,,,,,
,,,,23,,,,,,,,,
,,,,23,,,,,,,,,
,,,,23,,,,,,,,,
,,,,23,,,,,,,,,
,,,,23,,,,,,,,,
,,,,23,,,,,,,,,
,,,,23,,,,,,,,,
,,,,23,,,,,,,,,
,,,,23,,,,,,,,,
,,,,23,,,,,,,,,
,,,,24,,,,,,,,,
,,,,24,,,,,,,,,
,,,,24,,,,,,,,,
,,,,24,,,,,,,,,
,,,,24,,,,,,,,,
,,,,24,,,,,,,,,
,,,,24,,,,,,,,,
,,,,24,,,,,,,,,
,,,,24,,,,,,,,,
,,,,24,,,,,,,,,
,,,,24,,,,,,,,,
,,,,24,,,,,,,,,
,,,,24,,,,,,,,,
,,,,24,,,,,,,,,
,,,,24,,,,,,,,,
,,,,24,,,,,,,,,
,,,,24,,,,,,,,,
,,,,24,,,,,,,,,
,,,,24,,,,,,,,,
,,,,24,,,,,,,,,
,,,,24,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,25,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,26,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,27,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,28,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,29,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,30,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,31,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,32,,,,,,,,,
,,,,33,,,,,,,,,
,,,,33,,,,,,,,,
,,,,33,,,,,,,,,
,,,,33,,,,,,,,,
,,,,33,,,,,,,,,
,,,,33,,,,,,,,,
,,,,33,,,,,,,,,
,,,,33,,,,,,,,,
,,,,33,,,,,,,,,
,,,,33,,,,,,,,,
,,,,33,,,,,,,,,
,,,,33,,,,,,,,,
,,,,33,,,,,,,,,
,,,,33,,,,,,,,,
,,,,33,,,,,,,,,
,,,,33,,,,,,,,,
,,,,33,,,,,,,,,
,,,,33,,,,,,,,,
,,,,33,,,,,,,,,
,,,,33,,,,,,,,,
,,,,33,,,,,,,,,
,,,,33,,,,,,,,,
,,,,33,,,,,,,,,
,,,,34,,,,,,,,,
,,,,34,,,,,,,,,
,,,,34,,,,,,,,,
,,,,34,,,,,,,,,
,,,,34,,,,,,,,,
,,,,34,,,,,,,,,
,,,,34,,,,,,,,,
,,,,34,,,,,,,,,
,,,,34,,,,,,,,,
,,,,34,,,,,,,,,
,,,,35,,,,,,,,,
,,,,35,,,,,,,,,
,,,,35,,,,,,,,,
,,,,35,,,,,,,,,
,,,,36,,,,,,,,,
,,,,36,,,,,,,,,
,,,,36,,,,,,,,,
,,,,36,,,,,,,,,
,,,,36,,,,,,,,,
,,,,37,,,,,,,,,
,,,,38,,,,,,,,,
